AÑO,MES,MAQUINA,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,PROVINCIA,PAIS,TIPO MAQUINA,FUENTE GENERACION,TECNOLOGIA,CATEGORIA HIDRAULICA,CATEGORIA REGION,GENERACION NETA
2019,1/1/2019,3ARRDI01,3ARR,QUIL3A3A,QUILMES - PLANTA TRES ARROYOS,BUENOS AIRES,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"0,0"
2019,1/1/2019,ABRODI01,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,GRAN BS.AS.,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"578,5"
2019,1/1/2019,ACAJTG01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,"28.867,4"
2019,1/1/2019,ACAJTG02,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,"30.130,3"
2019,1/1/2019,ACAJTG03,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,"29.617,8"
2019,1/1/2019,ACAJTG04,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,"29.574,6"
2019,1/1/2019,ACAJTG05,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,"29.596,5"
2019,1/1/2019,ACAJTG06,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,"81.059,6"
2019,1/1/2019,ACAJTV07,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,NEUQUEN,Argentina,TURBO VAPOR,Térmica,CC,,Comahue,"163.172,1"
2019,1/1/2019,ADTOHI,ADTOHI,HIDIAMAG,H. DIAMANTE SA,CUYO,MENDOZA,Argentina,TURB HIDRAULICA,Hidráulica,HID,Resto Hidráulico,Cuyo,"24.673,8"
2019,1/1/2019,AESPTG01,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"132.425,3"
2019,1/1/2019,AESPTG02,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"139.823,6"
